trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN002421F050057032,14:41:00,14:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002075F040046774,15:54:00,15:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002075F040046774,17:41:00,17:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002465F050057069,20:24:00,20:24:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002465F050057069,22:13:00,22:13:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002407F050057021,07:58:00,07:58:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002407F050057021,08:37:00,08:40:00,StopPoint:OCETGV INOUI-87171926,1,"",0,0,
OCESN002407F050057021,09:04:00,09:07:00,StopPoint:OCETGV INOUI-87147322,2,"",0,0,
OCESN002407F050057021,09:57:00,09:57:00,StopPoint:OCETGV INOUI-87212027,3,"",0,0,
OCESN002071F010016773,17:24:00,17:24:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002071F010016773,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002069F230236772,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002069F230236772,19:41:00,19:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002409F060067028,09:28:00,09:28:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002409F060067028,11:14:00,11:14:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002069F100106771,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN002069F100106771,19:41:00,19:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009575F2402415105,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009575F2402415105,15:41:00,15:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009575F2402415105,16:25:00,16:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009575F2402415105,17:28:00,17:28:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009575F1501515104,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009575F1501515104,15:41:00,15:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009593F0700715223,10:55:00,10:55:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009593F0700715223,12:41:00,12:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009593F0700715223,13:25:00,13:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009593F0700715223,14:04:00,14:04:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009575F3203215106,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009575F3203215106,15:41:00,15:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009579F34034-1327254417,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009579F34034-1327254417,19:41:00,19:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009579F1701715161,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009579F1701715161,19:41:00,19:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009579F1701715161,20:25:00,20:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009579F1701715161,21:04:00,21:04:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009575F2302315097,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009575F2302315097,15:41:00,15:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009575F2302315097,16:25:00,16:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009575F2302315097,17:28:00,17:28:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009575F3303315101,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009575F3303315101,15:41:00,15:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009579F3403415171,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009579F3403415171,19:41:00,19:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009579F3403415171,20:25:00,20:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009579F3403415171,21:18:00,21:18:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009579F1501515153,17:54:00,17:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009579F1501515153,19:41:00,19:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009579F1501515153,20:25:00,20:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009579F1501515153,21:27:00,21:27:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009575F24024-1322154414,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009575F24024-1322154414,15:41:00,15:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009575F1401415093,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009575F1401415093,15:41:00,15:46:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009575F1401415093,16:25:00,16:28:00,StopPoint:OCETGV INOUI-80142281,2,"",0,0,
OCESN009575F1401415093,17:28:00,17:28:00,StopPoint:OCETGV INOUI-80290346,3,"",0,0,
OCESN009575F14014-1319854410,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009575F14014-1319854410,15:41:00,15:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN009575F23023-1320254411,13:54:00,13:54:00,StopPoint:OCETGV INOUI-87113001,0,"",0,0,
OCESN009575F23023-1320254411,15:41:00,15:41:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002352F120126949,07:35:00,07:35:00,StopPoint:OCETGV INOUI-87182014,0,"",0,0,
OCESN002352F120126949,07:46:00,07:49:00,StopPoint:OCETGV INOUI-87214056,1,"",0,0,
OCESN002352F120126949,08:09:00,08:19:00,StopPoint:OCETGV INOUI-87212027,2,"",0,0,
OCESN002352F120126949,10:05:00,10:05:00,StopPoint:OCETGV INOUI-87113001,3,"",0,0,
OCESN002356F100106950,10:02:00,10:02:00,StopPoint:OCETGV INOUI-87182014,0,"",0,0,
OCESN002356F100106950,10:32:00,10:43:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002356F100106950,12:33:00,12:33:00,StopPoint:OCETGV INOUI-87113001,2,"",0,0,
OCESN002356F410416957,10:02:00,10:02:00,StopPoint:OCETGV INOUI-87182014,0,"",0,0,
OCESN002356F410416957,10:31:00,10:43:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002356F410416957,12:33:00,12:33:00,StopPoint:OCETGV INOUI-87113001,2,"",0,0,
OCESN002356F130136960,10:02:00,10:02:00,StopPoint:OCETGV INOUI-87182014,0,"",0,0,
OCESN002356F130136960,10:31:00,10:43:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002356F130136960,12:33:00,12:33:00,StopPoint:OCETGV INOUI-87113001,2,"",0,0,
OCESN002356F400406954,09:57:00,09:57:00,StopPoint:OCETGV INOUI-87182014,0,"",0,0,
OCESN002356F400406954,10:31:00,10:43:00,StopPoint:OCETGV INOUI-87212027,1,"",0,0,
OCESN002356F400406954,12:33:00,12:33:00,StopPoint:OCETGV INOUI-87113001,2,"",0,0,
OCESN002350F070076939,06:38:00,06:38:00,StopPoint:OCETGV INOUI-87182014,0,"",0,0,
OCESN002350F070076939,06:49:00,06:52:00,StopPoint:OCETGV INOUI-87214056,1,"",0,0,
OCESN002350F070076939,07:15:00,07:19:00,StopPoint:OCETGV INOUI-87212027,2,"",0,0,
OCESN002350F070076939,09:05:00,09:05:00,StopPoint:OCETGV INOUI-87113001,3,"",0,0,
OCESN002350F030036940,06:38:00,06:38:00,StopPoint:OCETGV INOUI-87182014,0,"",0,0,
OCESN002350F030036940,06:49:00,06:52:00,StopPoint:OCETGV INOUI-87214056,1,"",0,0,
OCESN002350F030036940,07:13:00,07:19:00,StopPoint:OCETGV INOUI-87212027,2,"",0,0,
OCESN002350F030036940,09:05:00,09:05:00,StopPoint:OCETGV INOUI-87113001,3,"",0,0,
