trip_id;trip_date;time;stop_by_name;stop;stop_position_lon;stop_position_lat
OCESN006941F5805811801;2020-04-23 15:39:00;15:39:00;Chamb̩ry-Chal.-les-Eaux;87741009;5.91980053;45.57103797
OCESN006941F5805811801;2020-04-23 15:59:00;15:59:00;Aix-les-Bains-le-Revard;87741132;5.90934966;45.68786249
OCESN006941F5805811801;2020-04-23 16:29:00;16:29:00;Annecy;87746008;6.12181945;45.90205904
OCESN006951F18018-1258454323;2020-04-23 18:40:00;18:40:00;Paris-Gare-de-Lyon;87686006;2.37346237;48.84492163
OCESN006951F18018-1258454323;2020-04-23 20:34:00;20:34:00;Lyon-Saint-Exupery-Tgv;87762906;5.07583344;45.72092788
OCESN006951F18018-1258454323;2020-04-23 21:39:00;21:39:00;Chamb̩ry-Chal.-les-Eaux;87741009;5.91980053;45.57103797
OCESN006951F18018-1258454323;2020-04-23 21:59:00;21:59:00;Aix-les-Bains-le-Revard;87741132;5.90934966;45.68786249
OCESN006951F18018-1258454323;2020-04-23 22:28:00;22:28:00;Annecy;87746008;6.12181945;45.90205904
OCESN007069F0100112057;2020-04-23 18:46:00;18:46:00;Paris Gare du Nord;87271007;2.35488709;48.88013842
OCESN007069F0100112057;2020-04-23 19:48:00;19:48:00;Lille Flandres;87286005;3.07102315;50.63620117
OCESN007053F0400412021;2020-04-23 16:46:00;16:46:00;Paris Gare du Nord;87271007;2.35488709;48.88013842
OCESN007053F0400412021;2020-04-23 17:48:00;17:48:00;Lille Flandres;87286005;3.07102315;50.63620117
OCESN007082F0400412095;2020-04-23 20:12:00;20:12:00;Lille Flandres;87286005;3.07102315;50.63620117
OCESN007082F0400412095;2020-04-23 21:22:00;21:22:00;Paris Gare du Nord;87271007;2.35488709;48.88013842
OCESN007060F0100112027;2020-04-23 17:12:00;17:12:00;Lille Flandres;87286005;3.07102315;50.63620117
OCESN007060F0100112027;2020-04-23 18:14:00;18:14:00;Paris Gare du Nord;87271007;2.35488709;48.88013842
OCESN007052F0100112018;2020-04-23 16:12:00;16:12:00;Lille Flandres;87286005;3.07102315;50.63620117
OCESN007052F0100112018;2020-04-23 17:14:00;17:14:00;Paris Gare du Nord;87271007;2.35488709;48.88013842
OCESN007002F0700711878;2020-04-23 06:43:00;06:43:00;Lille Flandres;87286005;3.07102315;50.63620117
OCESN007002F0700711878;2020-04-23 07:06:00;07:06:00;Arras;87342014;2.78112647;50.28681562
OCESN007002F0700711878;2020-04-23 08:10:00;08:10:00;Paris Gare du Nord;87271007;2.35488709;48.88013842
OCESN007581F0100112619;2020-04-23 17:52:00;17:52:00;Paris Gare du Nord;87271007;2.35488709;48.88013842
